price(USD),title,artist,year created,time period,art movement,condition,signed,age of artwork(years)
25000,Still Life with Blonde and Goldfish,Tom  Wesselmann,2000,Contemporary,Pop Art,"The work is in excellent condition, direct from the publisher.",unknown,24
24000,Rusty Signs - Dead End 1,Ed  Ruscha,2014,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,10
20000,Rusty Signs - Cash for Tools 1,Ed  Ruscha,2014,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,10
9000,Petro Plots: Laurel Canyon/Ventura Boulevard,Ed  Ruscha,2001,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,23
9000,Petro Plots: Hollywood/Vine,Ed  Ruscha,2001,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,23
15000,"New Wood, Old Wood",Ed  Ruscha,2007,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,17
18000,Untitled,Jorge Pardo,2006,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,18
25000,Crochet V,Louise  Bourgeois,1998,Post-War,Feminist Art ,"The work is in excellent condition, direct from the publisher.",unknown,26
5000,California Suite No. 10,Mimmo Paladino,2004,Contemporary,Expressionism,"The work is in excellent condition, direct from the publisher.",unknown,20
25000,Crochet IV,Louise  Bourgeois,1998,Post-War,Feminist Art ,"The work is in excellent condition, direct from the publisher.",unknown,26
14000,Stonehenge (With Two Persons) Blue,John Baldessari,2005,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,19
22000,Concrete Couples,John Baldessari,2015,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",unknown,9
12000,BLAH,John Baldessari,2018,Contemporary,Pop Art,"The work is in excellent condition, direct from the publisher.",unknown,6
15000,Shack,Elizabeth Murray,1994,Post-War,Abstract,"The work is in excellent condition, direct from the publisher.","Signed mid-work, far right",30
9500,Back-up (Ground Rules),Robert Rauschenberg,1997,Post-War,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed lower right,27
40000,Untitled,Jasper Johns,2018,Contemporary,Pop Art,"The work is in excellent condition, direct from the publisher.",Signed lower right,6
35000,Regrets,Jasper Johns,2014,Contemporary,Abstract,"The work is in excellent condition, direct from the publisher.",Signed lower right,10
12000,Causeway,Helen Frankenthaler,2001,Contemporary,Abstract,"This work is in excellent condition, direct from the publisher.",Signed lower right,23
15000,Friend,Kiki Smith,2008,Contemporary,Expressionism,"The work is in excellent condition, direct from the publisher.",Signed lower right,16
15000,Fortune,Kiki Smith,2008,Contemporary,Expressionism,"The work is in excellent condition, direct from the publisher.",Signed lower right,16
1500,Untitled 2,Marina Adams,2018,Contemporary,Abstract,"The work is in excellent condition, direct from the publisher.",Signed lower right,6
7500,Fate Map,Terry Winters,2013,Contemporary,Abstract,"The work is in excellent condition, direct from the publisher.",Signed lower right,11
2500,Bow-Tie Rivet (Bow-Tie Landscapes),Ed  Ruscha,2003,Contemporary,Realism,"The work is in excellent condition, direct from the publisher.",Signed lower right,21
9000,Untitled (State 1),Martin Puryear,2016,Contemporary,Minimalism,"The work is in excellent condition, direct from the publisher.",Signed lower right,8
7960,Untitled (March_31_2015),Carroll  Dunham,2015,Contemporary,Expressionism,"The work is in excellent condition, direct from the publisher.",Signed on upper right,9
15000,Island,Carmen Herrera,2020,Contemporary,Geometric Abstraction,"The work is in excellent condition, direct from the publisher.",Signed verso,4
45000,Untitled (Triptych),Christopher Wool,1998,Contemporary,Abstract,"The work is in excellent condition, direct from the publisher.","Signed, dated and numbered in pencil",26
9500,"Lenticular Photographs, Los Angeles Studio, 2008",Didier Vermeiren,2008,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed on certificate attached to back of frame,16
3500,Brain I,Giuseppe Penone,2000,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.","Signed in pencil at bottom right edge, numbered bottom left",24
4500,Brain II,Giuseppe Penone,2000,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.","Signed in pencil bottom right edge, numbered bottom left",24
21000,After Hitchcock: Psycho. House. Tent-Camera Image,Abelardo Morell,2018,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.","Signed and numbered in pen on a label, on verso of Dibond mount",6
4000,Coat Check,Guillermo Kuitca,2002,Contemporary,Geometric Abstraction,"The work is in excellent condition, direct from the publisher.","Signed, dated and editioned lower right",22
35000,Untitled (sfm 83-471),Sam  Francis,1983,Contemporary,Abstract Expressionism,"The work is in excellent condition, direct from the publisher.","Signed ""Sam Francis"" in pencil on verso, inscribed ""SFM83-471 25 X 31-1/2"" in pencil on verso",41
25000,Hoquiam,Elger Esser,2008,Contemporary,Realism,"The work is in excellent condition, direct from the publisher.",Signed on label,16
7500,"Box, SN1987A-4420-sm.tif",Matthew Brandt,2019,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed on label on verso,5
7500,"Box, Bar-pt1-pl014_sm.jpg",Matthew Brandt,2019,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed on label on verso,5
22500,White Narcissus in Orange (Colour Wonder),Valérie Belin,2018,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed on labels on Dibond on verso,6
12500,Chair for the Spirit Chair for Man,Marina Abramović,1999,Contemporary,Conceptual ,"The work is in excellent condition, direct from the publisher.",Signed in pencil and numbered,25
9500,Nirvana ,Yong Jo Ji,2014,Contemporary,Abstract,Overall excellent condition.,unknown,10
32000,"Measurement: 41""/22""",Mel  Bochner,1998,Contemporary,Conceptual ,Unframed. In good condition overall.,"i. signed, titled and dated 1998 on the reverseii. titled on the reverseiii. titled on the reverse",26
48000,Untitled (Cosmology Signs),Matt Mullican,1991,Contemporary,Conceptual ,Excellent condition.,Signed and dated verso,33
11000,Allegorical #2,Antonio Carreno,2016,Contemporary,Abstract Expressionism,Excellent condition.,Signed lower right recto,8
11000,Allegorical,Antonio Carreno,2016,Contemporary,Abstract Expressionism,Excellent condition.,Signed lower right recto,8
40000,Tales of God,Frank Schroeder,2016,Contemporary,Expressionism,Excellent condition.,Signed lower left recto,8
30000,The Golden Path,Danny Simmons,2016,Contemporary,Abstract Expressionism,Excellent condition.,Signed verso,8
11000,Racing Divine,Antonio Carreno,2016,Contemporary,Abstract Expressionism,Excellent condition.,Signed lower right recto,8
30000,Traveling,Danny Simmons,2016,Contemporary,Abstract Expressionism,Excellent condition.,Signed verso,8
40000,Endless Summer in the Garden,Frank Schroeder,2016,Contemporary,Abstract,Excellent condition.,Signed lower left recto,8
40000,1001 Nights,Frank Schroeder,2016,Contemporary,Abstract,Excellent condition.,Signed lower left recto,8
6000,Exotic Garden (Venus Fly Trap),Mieke Marple,2021,Contemporary,Feminist Art ,Excellent condition.,Signed verso,3
6000,Exotic Garden (Flora),Mieke Marple,2021,Contemporary,Feminist Art ,Excellent condition.,Signed verso,3
19000,Neurochamber,Henry Gunderson,2019,Contemporary,Realism,Excellent condition.,Signed verso,5
12000,Bad Feminist (Blue Lace Medusa),Mieke Marple,2019,Contemporary,Feminist Art ,Excellent condition.,Signed verso,5
20000,Down So Long It Looks Up,Henry Gunderson,2019,Contemporary,Surrealism,Excellent condition.,Signed verso,5
22500,Woman Yacht,Christine Wang,2019,Contemporary,Realism,Excellent condition.,Signed verso,5
6000,Erotic Garden (Lily),Mieke Marple,2021,Contemporary,Feminist Art ,Excellent condition.,Signed verso,3
12000,Leo Baby,Christine Wang,2020,Contemporary,Realism,Excellent condition.,Signed verso,4
20000,Scissor Lock,Henry Gunderson,2019,Contemporary,Realism,Excellent condition.,Signed verso,5
5000,"'À bout de souffle' (Belmondo and Seberg, Champs Elysées, Paris)",Raymond Cauchetier,1959,Post-War,Realism,Excellent condition.,"Signed, titled and dated in pencil verso",65
7000,"Audrey Hepburn, Paris",Douglas Kirkland,1965,Post-War,Realism,Excellent condition.,Signed Certificate of Authenticity,59
10000,"Ile de La Cite (Merci HCB), Paris, France",Michael Kenna,1992,Post-War,Realism,Excellent condition.,"Signed, numbered, and dated in pencil recto; Signed, titled, dated and numbered with photographer's copyright stamp verso",32
5000,Cardin Hat Over Paris,Norman Parkinson,1948,Post-War,Realism,Excellent condition.,"Signed, stamped, titled and numbered by the Norman Parkinson Archive",76
9500,"Fiona Campbell, The Palace at Versailles, Paris",Frances McLaughlin-Gill,1950,Post-War,Realism,Excellent condition.,"Signed, dated and titled in pencil verso",74
15000,Dali Costumes - Paris,Horst P. Horst,1939,Modern,Realism,Excellent condition.,"Blindstamped on recto; Signed, titled and dated in pencil and with photographer's stamp on verso",85
8000,"Yves Saint-Laurent, Paris",Marc Riboud,1964,Post-War,Realism,Excellent condition.,Signed verso in pencil and with photographer's stamp,60
6000,Serge Gainsbourg (Cover for 'Love on the Beat' Album),William Klein,1984,Post-War,Realism,Excellent condition.,Signed in ink on the photographer's label on verso,40
8000,Dior Black - Paris Collections for Vogue Magazine,Frances McLaughlin-Gill,1952,Post-War,Realism,Excellent condition.,"Signed, dated and titled in pencil verso",72
6000,"Dorothy + Little Bara, Paris",William Klein,1960,Post-War,Realism,Excellent condition.,"Signed, dated and titled in pencil verso",64
50000,"Across the Restaurant at Le Grand Vefour, Barbara Mullen, Harper's Bazaar, Paris [Dress by Jacques Fath]",Lillian Bassman,1949,Post-War,Realism,Excellent condition.,Signed in pencil verso,75
2700,Bardot,Russell Young,2007,Contemporary,Pop Art,Excellent condition.,Signed and numbered recto,17
16000,Marilyn Crying,Russell Young,2019,Contemporary,Pop Art,Excellent condition.,"Signed and numbered ""JX"" verso",5
15000,Elizabeth Taylor Portrait,Russell Young,2008,Contemporary,Pop Art,Excellent condition.,"Signed and numbered ""RY2008"" verso",16
22000,Audrey Hepburn,Russell Young,2019,Contemporary,Pop Art,Excellent condition.,"Signed and numbered ""FX"" verso",5
5100,Marilyn Hope,Russell Young,2013,Contemporary,Pop Art,Excellent condition.,Signed and numbered recto,11
5100,Marilyn Portrait,Russell Young,2011,Contemporary,Pop Art,Excellent condition.,Signed and numbered recto,13
32000,Kate Moss Diptych,Russell Young,2015,Contemporary,Pop Art,Excellent condition.,"Signed and numbered ""BII"" verso",9
15000,Elizabeth Taylor,Russell Young,2005,Contemporary,Pop Art,Excellent condition.,Signed and numbered verso,19
15000,Elizabeth Taylor,Russell Young,2005,Contemporary,Pop Art,Excellent condition.,Signed and numbered verso,19
15000,Elizabeth Taylor Portrait,Russell Young,2008,Contemporary,Pop Art,Excellent condition.,Signed and numbered verso,16
22000,Audrey Hepburn,Russell Young,2019,Contemporary,Pop Art,Excellent condition.,"Signed and numbered ""EX"" verso",5
15000,Elvis,Russell Young,2007,Contemporary,Pop Art,Excellent condition.,Signed and numbered verso,17
2700,Bardot,Russell Young,2007,Contemporary,Pop Art,Excellent condition.,Signed and numbered recto,17
16000,Marilyn Crying,Russell Young,2019,Contemporary,Pop Art,Excellent condition.,"Signed and numbered ""AX"" verso",5
13000,Elvis Pistol,Russell Young,2011,Contemporary,Pop Art,Excellent condition.,"Signed and marked ""RY PEACE"" verso",13
15000,Elvis,Russell Young,2007,Contemporary,Pop Art,Excellent condition.,Signed and numbered verso,17
5995,"Skyscraper with Person and Flagpole, New York",Harry Callahan,1977,Post-War,Realism,"Print is in generally excellent condition.The colors are rich and saturated, with no apparent signs of fading.",Signed in pencil in the margin,47
3495,The Melody of Destiny,Kota Ezawa,2008,Contemporary,Conceptual ,"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",unknown,16
3495,Conical Intersect (After Gordon Matta-Clark 1975),Kota Ezawa,2005,Contemporary,Realism,"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",unknown,19
9995,"Lincoln Center, New York",Sze Tsung Leong,2003,Contemporary,Realism,"This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Signed in ink on the photographer's label on the reverse,21
3995,Earth from Moon (After NASA 1969),Kota Ezawa,2006,Contemporary,Realism,"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",unknown,18
3995,The Bohemians (After August Sander 1924),After Kota Ezawa,2006,Contemporary,Realism,"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",unknown,18
6995,Camera Obscura Image of the Brooklyn Bridge in Bedroom,Abelardo Morell,1999,Post-War,Realism,Print is in generally excellent condition.There is a tiny deposit of original retouching in the lower right corner and a crescent-shaped handling crease in the lower left that is only visible under raking light and does not appear to break the emulsion.,"Signed, titled, dated, and numbered in pencil on the reverse",25
8995,"Luohu District, Shenzhen",Sze Tsung Leong,2008,Contemporary,Realism,"This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Signed in ink on the photographer's label on the reverse,16
3495,"Beach and Shells, Horseneck Beach, Massachusetts",Harry Callahan,1978,Post-War,Realism,Print is in generally excellent condition.The colors are rich and saturated with no apparent fading.,Signed in pencil in the margin,46
13500,Giant Clutch,Charles Green Shaw,1965,Post-War,Abstract,"This work is unlined.The surface of the work is dirty with scattered pindots of surface accretion.Under UV: Although some pigments read strongly, they appear to be the artist's original.",Signed Charles Shaw and dated 1965 (on the reverse),59
4000,Visionaire 64 Art Blue Edition,John Baldessari,2014,Contemporary,Conceptual ,Screenprints are in excellent condition.,Numbered on portfolio case,10
17000,Erasing Memories,Charly Palmer,2020,Contemporary,Expressionism,Excellent condition.,Signed verso,4
17000,Tar Baby,Charly Palmer,2012,Contemporary,Expressionism,Excellent condition.,Signed by artist,12
14000,California Wildfire 2010/2012 (Version II),Lisa Oppenheim,2012,Contemporary,Abstract,This work has not been examined unframed as issued. It appears to be in generally excellent condition. Framed under glass.,"Signed by the photographer in ink on a Tanya Bonakdar Gallery, New York, label on the reverse of the frame.",12
1250,Grateful Dead Afro Cat Show,Devin Troy Strother,2021,Contemporary,Pop Art,Excellent condition.,Signed and numbered recto,3
1250,Grateful Dead Afro Cat Show,Devin Troy Strother,2021,Contemporary,Pop Art,Excellent condition.,Signed and numbered recto,3
2000,Untitled,Jutta Koether,1992,Contemporary,Expressionism,No obvious signs of wear.,Signed and dated lower right rectoInscribed verso,32
3000,Spacelock (second version),James Siena,1999,Contemporary,Geometric Abstraction,Not examined out of frame.No obvious signs of wear or damage.,unknown,25
1500,Untitled,Enoc Perez,2005,Contemporary,Realism,No obvious signs of wear.,"Signed, dated and inscribed verso",19
3000,Antenna,James Siena,2003,Contemporary,Geometric Abstraction,Not examined out of frame.No obvious signs of wear or damage.,unknown,21
3000,"Not Warhol, Marilyn",Mike Bidlo,1984,Contemporary,Pop Art,This work is in very good condition.No obvious signs of wear.,unknown,40
1000,"Place, 4-17",Jennifer Reeves,1997,Post-War,Conceptual ,No obvious signs of wear.,Signed and dated verso,27
1000,Explorer,Justine Kurland,2000,Contemporary,Realism,Laminate rippling at top center.Not examined out of frame.No obvious signs of wear to photograph.,Signed on gallery sticker verso,24
1500,Indian Summer 8 pm,Sarah Braman,2010,Contemporary,Abstract,No obvious signs of wear.,Signed and dated verso,14
2550,"Taste The Houses, Twirly, Upside Down Devil",James Siena,1997,Contemporary,Geometric Abstraction,No obvious signs of wear.,Signed lower right recto,27
4000,3-Way,Michele Abeles,2013,Contemporary,Conceptual ,Not examined out of frame.No obvious signs of wear or damage.,Signed on the reverse.,11
1500,Untitled (OPM No. 1),Kika Karadi,2014,Contemporary,Abstract,No obvious signs of wear or damage.,"Signed, titled and dated on the reverse",10
10000,Hobby,Julia Rommel,2012,Contemporary,Conceptual ,No obvious signs of wear or damage.,Signed and dated on reverse ,12
2250,Dizzy Gillespie,CARL VAN VECHTEN,1955,Post-War,unknown,This work is in very good condition.No obvious signs of wear or use.,unknown,69
4000,"Cassius Clay, Miami Beach",Flip Schulke,1961,Post-War,Realism,"This print is in generally excellent condition. The margin edges are worn and there is a sharp crease in the upper left margin corner that does not appear to break the emulsion. ‘#40 in show’ is written in pencil on the reverse, possibly in the photographer’s hand.","Signed and copyrighted in pencil and with a Flip Schulke studio label annotated ‘PAGE: 16.’ in ink, on the reverse.",63
800,Indian Horses,Carl Roters,1971,Post-War,Realism,No apparent signs of damage to artwork.Not examined out of frame.Overmat with several wrinkles.Frame with minor wear.,Signed and dated 1971 lower right,53
30000,Ballad to Ballet,Robin Rhode,2008,Contemporary,Conceptual ,Work appears to be in good condition. Light dust throughout. Some frames are scratched and dinged.,unknown,16
18000,"Triangles (Front, Back, Blue Gels, Fingers)",Dashiell Manley,2013,Contemporary,Abstract,Good condition.,unknown,11
15000,Punctuation,Jessica Jackson Hutchins,2011,Contemporary,Abstract,The work appears to be in excellent condition. The piece is framed. There are some very small pieces of material in the bottom of the frame that have come away from the piece. This work has not been inspected out of the frame.,unknown,13
12000,Image Object Sunday 12 February 2012 6:22pm,Artie Vierkant,2012,Contemporary,Abstract,Artwork not inspected.,unknown,12
23000,Glass House,James Welling,2010,Contemporary,Conceptual ,Excellent condition. Frame has slightly cracked miter joint on upper right corner.,"Signed, titled, dated and numbered lower recto",14
160000,Black Dress Portfolio,Alex Katz,2015,Contemporary,Pop Art,Excellent condition.,Signed and numbered,9
6500,Other Woman I,Biff Elrod,2011,Contemporary,Pop Art,Excellent condition.,"Front lower left ""B.F. Elrod""",13
5500,G-OW-RW,Biff Elrod,2008,Contemporary,Pop Art,Excellent condition.,Signed verso ,16
5000,"Cassius Clay at the 5th Street Gym, Miami Beach, FL",Flip Schulke,1961,Modern,Realism,This print is in generally excellent condition. There are some fingerprints in the upper right quadrant.,Signed and copyrighted in pencil and with a Flip Schulke studio label on the reverse.,63
4500,Cassius Clay After Defeating Sonny Liston,Ralph Morse,1964,Modern,Realism,"This early print is in generally very good condition. Visible under close inspection are some scuffs, soft handling creases and an approximately one-inch crease in the lower left quadrant that appears to break the emulsion. There is minor edge wear, with some sharp creases that break the emulsion and occasional losses. On the reverse are numerous reproduction notations in crayon and graphite in unidentified hands.",unknown,60
4000,"Muhammad Ali at the Fifth Street Gym, Miami Beach",Flip Schulke,1964,Modern,Realism,This print is in generally excellent condition. There are occasional hairline scratches. In the margin is a piece of adhesive with ‘P74’ and ‘63%’ written in pencil in an unidentified hand.,"A Flip Schulke, West Palm Beach studio label on the reverse, annotated ‘1964’ in red ink.",60
22500,"CUTAWAY MODEL NIKKOR ZOOM LENS 50-300MM Ƒ/4.5. PHOTOGRAPHY BY THE DOUGLAS M. PARKER STUDIO, LOS ANGELES, CALIFORNIA, OCTOBER 13, 2007 - OCTOBER 29, 2007",Christopher Williams,2007,Contemporary,Realism,"This work is in very good condition overall.There is a light layer of surface dust that has adhered to the surface.Under very close inspection there is a white spot accretion, 7 inches from the top edge and 10 inches from the left edge.","Signed, partially titled, dated 08 and numbered AP on the reverse",17
37000,Fille aux Violets,Marcel Dyf,1957,Post-War,Impressionism,"Overall very good condition.Small chip to canvas at left side, middle.Occasional scratching and chips at frame corners.Not examined out of frame.",Signed Dyf bottom left in paint,67
9350,Portrait of Marie Sitting in Black and White,Mickalene Thomas,2012,Contemporary,Conceptual ,Excellent condition.Not examined out of frame.,unknown,12
20000,Helicoid Minimal Surface,Hiroshi Sugimoto,2004,Contemporary,Conceptual ,Excellent condition.,Signed in front under the mat on the right side.,20
20000,Differential Bevel Gear,Hiroshi Sugimoto,2004,Contemporary,Conceptual ,Excellent condition.,Signed in front under the mat on the right side.,20
5000,Iconoclouds,Berndnaut Smilde,2013,Contemporary,Conceptual ,Excellent condition.,Artist and printer chops on right front.,11
25000,Sin,Ed  Ruscha,1970,Contemporary,Conceptual ,Excellent condition.,"Signed, dated and numbered on front left corner.",54
5000,Lands of Shadow and Substance #27,Allan  McCollum,2014,Contemporary,Conceptual ,Excellent condition.,unknown,10
5000,Lands of Shadow and Substance #21,Allan  McCollum,2014,Contemporary,Conceptual ,Excellent condition.,unknown,10
5000,Lands of Shadow and Substance #2,Allan  McCollum,2014,Contemporary,Conceptual ,Excellent condition.,unknown,10
2000,Untitled ,Sophie Von Hellermann,2010,Contemporary,Expressionism,No obvious signs of wear or use. ,"Signed ""Sophie von Hellermann"" in block capitals and with the artist's signature.",14
2000,Untitled ,Dawn Mellor,1998,Contemporary,Expressionism,Minor losses to paint layers on edges.Water damage on verso. ,"Signed ""Dawn Mellor"" in block capitals and with the artist's signature.",26
3000,Untitled ,Gillian Carnegie,1998,Contemporary,Impressionism,No obvious signs of wear or use. ,"Signed ""Gillian Carnegie"" in block capitals and with the artist's signature.",26
6000,BE THAT AS IT MIGHT - ASPIRE,Lawrence Weiner,2009,Contemporary,Conceptual ,Occasional smudges and wear to corners. ,"Signed ""Lawrence Weiner"" in block capitals and with the artist's signature.",15
9500,W. 28th from Great Jones Alley series,Paige Neuhauser,2021,Contemporary,Photorealism,This work is in excellent condition.,Signed on verso,3
9500,Broadway & 28th from Great Jones Alley ,Paige Neuhauser,2021,Contemporary,Photorealism,This work is in excellent condition.,Signed on verso,3
9500,Great Jones #2 from Great Jones Alley Series,Paige Neuhauser,2021,Contemporary,Photorealism,This work is in excellent condition.,Signed on verso,3
2500,Arancia,Doris McCarthy,2021,Contemporary,Abstract,Excellent condition.,"Titled, numbered, signed and dated recto",3
2500,lampone,Doris McCarthy,2021,Contemporary,Abstract,Excellent condition ,"Titled, numbered, signed and dated recto",3
8000,States of Matter,Diane Tuft,2005,Contemporary,Environmental Art,This work is in very good condition overall.Small nick to one corner of the frame.,"Signed, dated, titled and numbered on the reverse.",19
8000,Red Sea,Diane Tuft,2005,Contemporary,Environmental Art,This work is in very good condition with no obvious signs of damage or wear.,"Signed, dated, titled and numbered on the reverse.",19
3895,Sequence,Bruce Nauman,1969,Post-War,Pop Art,This work is in very good condition.Minor crease and bend to lower right corner of print.,Signed in ink lower right,55
15000,Nevermore,Francesco Correggia,2013,Contemporary,Abstract,Overall excellent condition.,Signed verso ,11
12000,Verso Sera,Francesco Correggia,2012,Contemporary,Abstract,Overall excellent condition.,Signed verso ,12
12000,Si Sciara,Francesco Correggia,2012,Contemporary,Abstract,Overall excellent condition.,Signed verso ,12
7000,"Schönfeldstrasse (Bronze-Reiter), München",Thomas Struth,1984,Post-War,Realism,"This ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. Upon close inspection in raking light, the following are visible: scattered, minor pitting; a few hairline scratches and scuffs; a sharp, crescent-shaped handling crease in the lower left quadrant; and a v-shaped soft crease in the upper right quadrant.The signed label on the reverse of the frame is annotated 'DM 3,200.-' in an unidentified hand in ink.","Signed, titled, dated, and editioned '2/10' in pencil on the reverse.Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.",40
7000,"Yamaguchi, Landscape with Garages",Thomas Struth,1986,Post-War,Realism,"This large ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. When examined closely in raking light, some minor pitting and a few deposits of original retouching are visible. The upper and lower margins are very gently rippled. The signed label on the reverse of the frame is annotated 'DM 2.900.-' in an unidentified hand in pencil. ","Signed, titled, dated, and editioned '3/10' in pencil on the reverse. Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.",38
70000,Untitled ,Willem de Kooning,1955,Post-War,Abstract Expressionism,"This drawing is in good and stable condition consistent with its age, the inherent quality of the artist's chosen materials, and other examples of the artist's works using similar materials.The paper support is toned overall with some additional darkening corresponding to the area exposed to light. There is a liquid stain at the top left corner, which is likely attributable to the milieu of the artist’s studio. The sheet is structurally sound with some small edge tears and dents. An old tear that crosses the width of the sheet has been well-mended during an earlier restoration procedure through the application of an overall paper lining on the verso surface.The sheet has natural undulations and minor distortions throughout. The UV examination did not reveal anything further of note and provided additional support for the observations above.Presented with a window mat that covers the sheet edges.","Signed de Kooning in pencil; inscribed in pencil right side recto ""to Leonardo from Bill with Love"" ",69
995,Day Box ,Mariann Loveland-Miller,1983,Post-War,Surrealism,This work is in overall good condition.There is a small abrasion center left.,unknown,41
995,Untitled (3 Figures),Mary Frank,1993,Post-War,Abstract,This work is in good condition.Not examined out of frame.,"Inscribed, signed and dated “For Micki Mary Frank 1993” lower right",31
595,Untitled ,Paul Manes,1986,Post-War,Abstract,This work is in good condition.Not examined out of frame.,"Signed and dated “Paul Manes ‘86” lower right; Inscribed “For Mickey, Happy 50th” lower left",38
995,"Killyan Kill, Afternoon ",Fred Mitchell,1985,Post-War,Expressionism,This work is in good condition.Not examined out of frame.,"Signed and dated lower right “Fred Mitchell 85""; Titled lower left “Killyan [?] Kill, Afternoon”",39
2500,Untitled,Mary Frank,1976,Post-War,Art Brut,This work is in good condition.Not examined out of frame.Back of piece not examined.,Signed Mary Frank 1976 in pencil verso ,48
8000,Passengers on the Subway,Walker Evans,1939,Modern,Realism,"This print, on double-weight paper with a slight surface sheen, is in generally excellent condition. There are a few soft handling creases overall and a sharp crease in the lower left corner that does not appear to break the emulsion. The lower margin corners are bumped and the upper paper-ply is peeling. On the reverse, each corner in slightly discolored.",The photographer's credit stamp (Keller B) and '33' in pencil on the reverse.,85
8000,"Salon Verde, Havana, Cuba, 1998",Andrew Moore,1998,Post-War,Realism,Some smudges on back side of plexiglass near the top.Not examined outside of frame.,"Signed, titled and dated verso",26
27000,Chance 3 (Darinka),Alex Katz,2016,Contemporary,Pop Art,Excellent condition.Not examined out of frame.,"Signed and numbered lower left front, stamped © Alex Katz, Lococo Fine Art Publisher 2016, verso lower right",8
9000,Bob Marley Smoking,Kim Gottlieb Walker,1975,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,49
3000,Bob Marley,Kim Gottlieb Walker,1975,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,49
3000,"Carol King and James Taylor, London ",Kim Gottlieb Walker,1971,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,53
3000,Rod Stewart,Kim Gottlieb Walker,1970,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,54
3000,Andy Warhol Smiling (Unusual),Kim Gottlieb Walker,1970,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,54
2500,"Bob Marley Bare Chest at Window, Jamaica ",Kim Gottlieb Walker,1975,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,49
2500,Jimi Plays Backstage at The Shrine,Kim Gottlieb Walker,1967,Post-War,Realism,Excellent condition.,Signed and titled bottom right corner ,57
75000,Ceiling Painting,Biff Elrod,2018,Contemporary,Pop Art,This work is in excellent condition.,Signed verso ,6
3800,Bathing Place,Arie Smit,1974,Post-War,Expressionism,This work is in very good condition.Minor scuffs to frame with tear to paper backing.Art not examined outside of frame.,"Signed, titled, and dated in the lower left corner.",50
1200,Asana II,ROBERT KELLY,1989,Post-War,Abstract,This work is in good condition.Creasing to margins at lower right.Spots at blind stamp at lower left corner.Small spots in margin at left center.,Signed and dated in pencil lower right.,35
71500,New Test #1,Larry Bell,2003,Contemporary,Minimalism,Not examined out of frame.Moderate sheet undulation due to artist's chosen working materials. ,"Signed, titled and dated bottom right corner recto",21
15000,I Am Alone,Francesco Correggia,2013,Contemporary,Abstract,This work is in excellent condition.,Signed verso ,11
7500,Monolith III,Julius Lumsdem,2005,Contemporary,Abstract,Overall excellent condition. ,Signed verso in graphite,19
6000,Hellenic Ode,Paul Jenkins,1959,Post-War,Abstract Expressionism,Not examined out of frame. Minor loss to gilding on frame. Surface wear to plexiglass. ,"Signed Paul Jenkins towards lower right; signed Paul Jenkins, titled ""Hellenic Ode"", situated Paris and dated 1959 on the reverse",65
